Curso,Professor,Projeto,Resumo
Ciência da Computação (Bacharelado),SIMONE ANDRE DA COSTA CAVALHEIRO,"SACCI Pelotas: Rede de Saberes Articulando Ciências, Criatividade e Imaginação","Este projeto tem como objetivo geral integrar a metodologia do Pensamento Computacional no desenvolvimento de habilidades relacionadas a área de ciências, com o propósito de aperfeiçoar e inovar as metodologias de ensino dessa área no ensino Fundamental. "
Ciência da Computação (Bacharelado),SIMONE ANDRE DA COSTA CAVALHEIRO,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental,"Este projeto tem como objetivo geral sensibilizar a rede de ensino para a relevância do ensino dos fundamentos da Ciência da Computação desde a Educação Fundamental. São objetivos específicos:
 - Introduzir alunos e professores do Ensino Fundamental ao processo de solução de problemas denominado Pensamento Computacional;
- Criar oficinas completas para o desenvolvimento de habilidades e a promoção de atitudes essenciais do PC;
- Propor uma metodologia adequada para o desenvolvimento do Pensamento Computacional em escolas do Ensino Fundamental da cidade de Pelotas, considerando as particularidades da rede de ensino municipal e a realidade dos estudantes;
- Qualificar a formação dos estudantes de graduação e pós-graduação envolvidos no projeto;
- Integrar a comunidade e a universidade."
Ciência da Computação (Bacharelado),SIMONE ANDRE DA COSTA CAVALHEIRO,Programa de Monitoria da UFPEL,"O Programa de Monitoria da UFPEL objetiva proporcionar ações contínuas e efetivas que contribuam no combate à reprovação, à retenção e à evasão nos cursos de graduação da UFPEL, mediante atuação direta do monitor no apoio ao desenvolvimento dos componentes curriculares.


"
Ciência da Computação (Bacharelado),TATIANA AIRES TAVARES,Desenvolvimento de inovações tecnológicas e cultivares das plantas cultivadas com potencial de produção de sementes de alto vigor,"Estudar novas tecnologias e desenvolver cultivares das plantas cultivadas em diferentes microambientes e seus manejos fitotécnicos, agregando informações referentes ao posicionamento de cultivares, ao desenvolvimento de cultivares, ao crescimento e rendimento de sementes de alta qualidade, com vista na obtenção e indicação dos melhores genótipos para cada ambiente de cultivo, visando à diversificação dos sistemas de produção."
Ciência da Computação (Bacharelado),TATIANA AIRES TAVARES,estudo de processos para a CustomiZAção em Massa de projetos para HAbitações de Interesse Social (CZA+),"Desenvolver processos de uso e interação com tecnologias que possibilitem o co-design visando a customização em massa de projetos de reformas em contextos de habitação de interesse social do Rio Grande do Sul, configurando-se como tecnologias sociais. São adotados os seguintes objetivos específicos:
- Analisar e testar processos e fluxos de trabalho de parametria, processos generativos de projeto e BIM que possam ser utilizados em um sistema de co-design, um configurador de customização em massa, tendo em vista as características específicas do contexto de HIS considerado, assim como a interação e transferência de informação entre os diferentes sistemas.
-  Analisar e testar diferentes meios que possibilitem a interação de forma facilitada entre usuários e os processos mencionados no item anterior (tais como maquetes físicas, mesa tangível, realidade aumentada, entre outros) e desenvolver processor que permitam tal interação de forma automatizada. 
- Desenvolver processos e fluxos de trabalho que permitam a automação de etapas do processo de levantamento em unidades existentes até a obtenção de um modelo digital de tal unidade.
"
Ciência da Computação (Bacharelado),TATIANA AIRES TAVARES,Abordagens Multiprofissionais em Inovações Sociais,"Objetivo geral:
Produzir conhecimento e inovação, com foco em demandas da comunidade, aliando conhecimentos e profissionais das áreas da Computação, Design e Terapia Ocupacional, dentre outras profissões.

Objetivos específicos:
- Integrar acadêmicos e profissionais da Computação, Design e Terapia Ocupacional, proporcionando um ambiente de colaboração, agregando outras especialidades para colaborar com o projeto de soluções para demandas da comunidade;
- Investigar e desenvolver produtos, serviços e tecnologias assistivas para a comunidade e nichos populacionais, que proporcionem incremento da qualidade de vida e independência, levando em conta a sustentabilidade;
- Promover cursos e oficinas para a capacitação dos estudantes, profissionais e docentes do grupo e comunidade em geral;
- Realizar palestras e eventos conjuntos para debater e difundir conhecimento;
- Organizar artigos científicos que discutam métodos, apresentem análises e resultados de projetos desenvolvidos, bem como reflexões que venham a surgir do encontro das disciplinas e dos profissionais envolvidos;
- Apresentar os resultados dos projetos desenvolvidos em eventos, congressos e fóruns;
- Conceber metodologias que possam colaborar para o desenvolvimento e testagem de produtos, serviços e tecnologias assistivas."
Ciência da Computação (Bacharelado),TATIANA AIRES TAVARES,"“Validação de sistema de gamificação, gestão e automação na nuvem para eficiência energética de edificações públicas com foco inicial em universidades”","Gerar mudanças de conduta nos usuários, por intermédio de sistemas implementados de gamificação, levando a uma consciência mais sustentável em relação a utilização e interação com o ambiente construído

Objetivos específicos:
● Nivelamento das diferentes equipes de modo que cada uma delas saiba exatamente identificar suas metas e resultados na interação às demais e à integração do projeto;
● Adequação das metodologias de gamificação e estratégias de engajamento do usuário;
● Desenvolver o protótipo a partir da experiência do usuário;
● Desenvolver o software, interface com usuário (front end) e sistemas (back end);
● Validar o protótipo em laboratório;
● Aplicar os produtos anteriores em uma edificação pública de ensino superior para avaliação da metodologia de gamificação na eficiência energética;
● Avaliação de resultados e propor aprimoramento do sistema."
Ciência da Computação (Bacharelado),TATIANA AIRES TAVARES,Universidade Aberta Para Idosos - UNAPI,"Oportunizar ao idoso um espaço de aprendizado, de qualidade de vida, inclusão social, conhecimento científico, de troca de experiências e informações, reflexão e manutenção e/ou resgate da cidadania; partindo da perspectiva da educação continuada disseminada no contexto acadêmico."
Ciência da Computação (Bacharelado),TATIANA AIRES TAVARES,TRANSFORMA: Ações Afirmativas envolvendo Tecnologias Digitais para Inovação Social ,"Desenvolver um conjunto de ações afirmativas que envolvam tecnologias digitais como forma de resolver problemas do mundo real e potencializar as capacidades de jovens e idosos para inovação social.
Desenvolver um conjunto de atividades que promovam as transformações nos eixos de ensino, pesquisa e extensão enfatizando o potencial criativo e transformador dessa integração. 

Promover dinâmicas integrativas, se possível intergeracionais, que envolvam participantes do projeto e a comunidade em geral através da organização de  ciclos de debates não técnicos (como a leitura)  .

Promover discussão sobre o desenvolvimento tecnológico e seus impactos sociais, econômicos e educacionais no contexto do público-alvo envolvido.

Promover a descoberta científica através do olhar da Ciência aplicada e interdisciplinar através do diálogo e da colaboração com a comunidade não acadêmica.

"
Ciência da Computação (Bacharelado),ULISSES BRISOLARA CORRÊA,Análise de Sentimento Baseada em Aspectos Usando Aprendizado Profundo: uma Proposta Aplicada a Língua Portuguesa,"O objetivo geral deste trabalho é propor (definir, implementar e avaliar) um novo método de Análise de Sentimento em Nível de Aspectos para documentos opinativos escritos em Língua Portuguesa utilizando Aprendizado Profundo."
Ciência da Computação (Bacharelado),ULISSES BRISOLARA CORRÊA,Análise de Sentimento Baseada em Aspectos Usando Aprendizado Profundo: uma Proposta Aplicada a Língua Portuguesa,"O objetivo geral deste trabalho é propor (definir, implementar e avaliar) um novo método de Análise de Sentimento em Nível de Aspectos para documentos opinativos escritos em Língua Portuguesa utilizando Aprendizado Profundo."
Ciência da Computação (Bacharelado),ULISSES BRISOLARA CORRÊA,Modelagem de atributos físico-hídricos de solos subtropicais usando algoritmos de aprendizado de máquina supervisionado,"O projeto visa à avaliação do potencial de algoritmos de aprendizado de máquina supervisionado para estimar atributos físico-hídricos de solos subtropicais. Assim como, avaliar o potencial de uso de dados espectrais na estimativa de atributos físico-hídricos do solo no desenvolvimento de FPTs em escala de bacia."
Ciência da Computação (Bacharelado),ULISSES BRISOLARA CORRÊA,Centro de Inovação em Inteligência Artificial - Fase 1,"Este projeto tem como objetivo principal desenvolver competências em Inteligência Artificial em empresas do Rio Grande do Sul, com foco na metade sul do Estado. Em específico:

- Identificar oportunidades de uso de técnicas de Inteligência Artificial em processos, produtos ou serviços de empresas consolidadas de diferentes ramos econômicos;
- Identificar requisitos e obstáculos para implantação de projetos de IA nas empresas e propor maneiras de atendê-los e solucioná-los.
- Capacitar empresários, engenheiros, técnicos e outros profissionais a pensarem em soluções baseadas em Inteligência Artificial e compreenderem limitações e aspectos éticos;
- Capacitar estudantes para atuarem no desenvolvimento de soluções de Inteligência Artificial em empresas consolidadas ou empreendimentos próprios, de forma crítica e ética;
"
Ciência da Computação (Bacharelado),ULISSES BRISOLARA CORRÊA,Programa de Monitoria da UFPEL,"O Programa de Monitoria da UFPEL objetiva proporcionar ações contínuas e efetivas que contribuam no combate à reprovação, à retenção e à evasão nos cursos de graduação da UFPEL, mediante atuação direta do monitor no apoio ao desenvolvimento dos componentes curriculares.


"
Engenharia de Computação (Bacharelado),ADRIANA BORDINI,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental,"Este projeto tem como objetivo geral sensibilizar a rede de ensino para a relevância do ensino dos fundamentos da Ciência da Computação desde a Educação Fundamental. São objetivos específicos:
 - Introduzir alunos e professores do Ensino Fundamental ao processo de solução de problemas denominado Pensamento Computacional;
- Criar oficinas completas para o desenvolvimento de habilidades e a promoção de atitudes essenciais do PC;
- Propor uma metodologia adequada para o desenvolvimento do Pensamento Computacional em escolas do Ensino Fundamental da cidade de Pelotas, considerando as particularidades da rede de ensino municipal e a realidade dos estudantes;
- Qualificar a formação dos estudantes de graduação e pós-graduação envolvidos no projeto;
- Integrar a comunidade e a universidade."
Engenharia de Computação (Bacharelado),ADRIANA BORDINI,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental,"Este projeto tem como objetivo geral sensibilizar a rede de ensino para a relevância do ensino dos fundamentos da Ciência da Computação desde a Educação Fundamental. São objetivos específicos:
 - Introduzir alunos e professores do Ensino Fundamental ao processo de solução de problemas denominado Pensamento Computacional;
- Criar oficinas completas para o desenvolvimento de habilidades e a promoção de atitudes essenciais do PC;
- Propor uma metodologia adequada para o desenvolvimento do Pensamento Computacional em escolas do Ensino Fundamental da cidade de Pelotas, considerando as particularidades da rede de ensino municipal e a realidade dos estudantes;
- Qualificar a formação dos estudantes de graduação e pós-graduação envolvidos no projeto;
- Integrar a comunidade e a universidade."
Engenharia de Computação (Bacharelado),ALAN CARLOS JUNIOR ROSSETTO,"Análise, simulação e caracterização de efeitos de confiabilidade em dispositivos e circuitos eletrônicos integrados","O objetivo deste trabalho é desenvolver, aperfeiçoar e utilizar metodologias e ferramentas para a simulação e caracterização de efeitos de confiabilidade em dispositivos e circuitos integrados, possibilitando a construção de modelos estatísticos que possam estimar a degradação do desempenho destes em função de efeitos de auto aquecimento (self-heating) e atividade de armadilhas (ruído e envelhecimento). "
Engenharia de Computação (Bacharelado),ALAN CARLOS JUNIOR ROSSETTO,MIPWise: ‘Inteligência Artificial das Coisas’ Aplicada ao Manejo Integrado de Pragas,"O objetivo é estabelecer uma área para testes e validação de tecnologias da agricultura 4.0, tendo como estudo de caso o aprimoramento e avaliação de um sistema integrado de sensores para coleta de dados e tomada de decisão para manejo integrado de pragas de uma startup de base tecnológica. A longo prazo, o objetivo é tornar a área experimental um catalisador para o desenvolvimento social e tecnológico deste segmento da agricultura na região Sul do RS, influenciando na tendência da adoção de novas tecnologias no campo para aumento de produtividade e de forma sustentável, a partir de um ferramental tecnológico que possa ser replicado para outras culturas e regiões agrícolas.

Objetivos Específicos:
1. Estruturar uma área de testes em campo (Fazenda da Palma da UFPel) para desenvolver, testar e validar soluções digitais aplicadas a cultivos agrícolas;
2. Validar um conjunto de tecnologias da Partamon para monitoramento de pragas, compreendendo os protótipos das armadilhas e estações meteorológicas para microclimas, já desenvolvidos, e o modelo preditivo de infestação de pragas em um ambiente natural. Uma vez validada a solução, será possível escalar a sua produção e melhorar/desenvolver sua produção de maneira assertiva e com dados de resultados comprovados.
3. Caracterizar o canal de propagação da última milha em que o sistema está inserido.
4. Desenvolver modelos preditivos para propagação de sinais baseados em dados topográficos de terrenos e imagens capturadas por drones e/ou satélites.
5. Estudar a topologia de rede mais adequada ao sistema de comunicação de Redes de Sensores Sem Fio (RSSF) que será implantada para a validação das tecnologias.
6. Aprimorar as tecnologias empregadas nos dispositivos sensores (armadilha e estações para monitorar variáveis climáticas) com o intuito de melhorar a eficiência energética e garantir conectividade em uma rede de dados de baixo custo.
7. Avaliar técnicas de visão computacional para identificação de plantas com sintomas de doenças e ataque de insetos via imagens aéreas capturadas por VANTs (drones).

"
Engenharia de Computação (Bacharelado),ALAN CARLOS JUNIOR ROSSETTO,Desenvolvimento de plataforma de monitoramento ambiental aquático,"O objetivo principal do projeto é o desenvolvimento de plataformas flutuantes, fixas e/ou móveis, que permitam a coleta e transmissão de dados ambientais de diversos ambientes aquáticos. Estas plataformas poderão ser utilizadas para diferentes tipos de avaliações ambientais, desde o monitoramento contínuo em um só local, até aquisições instantâneas em diferentes locais, com controle remoto ou autônomo. Em paralelo com a elaboração dos sistemas flutuantes, diferentes tipos de sensores de baixo custo para o ambiente aquático serão desenvolvidos, dando sequência aos trabalhos anteriores do grupo, como condutivímetro, turbidímetro, etc."
Engenharia de Computação (Bacharelado),ALAN CARLOS JUNIOR ROSSETTO,Sistemas Ciber-Físicos Inteligentes para o Manejo Integrado de Pragas,"1	Desenvolver e experimentar um sistema de monitoramento de pragas baseado em armadilhas inteligentes capazes de:

1.1	Atuar de forma autônoma, reduzindo significativamente a necessidade de intervenção humana;

1.2	Aumentar a resolução temporal de dados de monitoramento, permitindo o levantamento sincronizado de informações; e

1.3	Tornar disponível em tempo real tais informações para os tomadores de decisão.

2	Desenvolver e experimentar um sistema de aplicação aérea de agentes de controle biológicos baseado em veículos aéreos não tripulados capaz de atuar de forma autônoma, cobrindo a área de interesse de forma mais eficiente possível.
"
Engenharia de Computação (Bacharelado),ALAN CARLOS JUNIOR ROSSETTO,Programa de Monitoria da UFPEL,"O Programa de Monitoria da UFPEL objetiva proporcionar ações contínuas e efetivas que contribuam no combate à reprovação, à retenção e à evasão nos cursos de graduação da UFPEL, mediante atuação direta do monitor no apoio ao desenvolvimento dos componentes curriculares.


"
Engenharia de Computação (Bacharelado),ALAN CARLOS JUNIOR ROSSETTO,Projeto de Permanência e Qualidade Acadêmica dos Cursos de Computação,"O projeto tem por objetivo a melhoria da qualidade do ensino e dos indicadores acadêmicos dos cursos de Computação da UFPEL através do desenvolvimento de ações de combate à retenção e à evasão por meio do aprimoramento das práticas pedagógicas, da modernização dos programas dos cursos, da concentração das ofertas de disciplina e da realização de eventos sociais para integração da comunidade discente."
Engenharia de Computação (Bacharelado),ALAN CARLOS JUNIOR ROSSETTO,PinguimBots: Liga Acadêmica de Robótica,Este projeto tem por objetivo promover um ambiente no qual os alunos dos cursos de Ciência da Computação e Engenharias empreguem os conhecimentos adquiridos nos cursos e desenvolvam novos conhecimentos visando a construção e manipulação de robôs
Engenharia de Computação (Bacharelado),ALESSANDER OSORIO,"Projeto integrado de pesquisa, ensino e extensão para a formação de gestores e profissionais da APS e a qualificação do cuidado de pessoas com hipertensão arterial sistêmica, diabetes mellitus e obesidade na região sul do Rio Grande do Sul","Objetivo geral
Realizar Projeto Integrado de Pesquisa, Ensino e Extensão dirigido a alunos, gestores e profissionais da Atenção Primária à Saúde para qualificar a organização dos serviços e o cuidado às pessoas com hipertensão arterial sistêmica, diabetes mellitus e obesidade e fatores de risco associados na região Sul do Rio Grande do Sul.

Objetivos específicos
1) Desenvolver análise situacional da organização do cuidado às pessoas com hipertensão arterial sistêmica, diabetes mellitus e obesidade e das necessidades de formação de alunos, profissionais de nível superior e gestores da APS, com ênfase na caracterização do processo de trabalho das equipes para atenção aos grupos de interesse.
2) Ofertar formação em serviço na modalidade semipresencial para alunos, profissionais de saúde de nível superior e gestores da APS, com vistas a minimizar os problemas identificados na análise situacional e implantar mudanças no processo de trabalho para qualificar o cuidado e o monitoramento de pessoas com hipertensão arterial sistêmica, diabetes mellitus e obesidade.
 3) Realizar análise avaliativa sobre os efeitos da formação na reorganização do processo de trabalho das equipes, em parceria com as secretarias estaduais e municipais de saúde.
 4) Promover a difusão e a tradução do conhecimento produzido ao longo do projeto mediante sua disponibilização em acesso aberto na Plataforma Educacional Kurt Kloetzel - https://dms.ufpel.edu.br/p2k/ - e em eventos para fortalecer seu uso por estudantes, gestores, profissionais da APS, conselheiros de saúde e lideranças comunitárias.
"
Engenharia de Computação (Bacharelado),ALESSANDER OSORIO,Capacitação em Atenção Primária sobre manejo e controle da Dor crônica e Síndromes Dolorosas.,"Formar profissionais que atuam na Atenção Primária à Saúde (APS) para identificar, manejar e controlar a Dor e Síndromes Dolorosas que acometem usuários atendidos na APS."
Engenharia de Computação (Bacharelado),ANA MARILZA PERNAS FLEISCHMANN,Gestão de Relacionamentos entre Objetos na Internet das Coisas Social,"O objetivo geral do presente projeto é a geração de um modelo para gestão de relacionamentos que permita a integração mais efetiva e eficiente entre dispositivos que fazem parte de uma infraestrutura de IoT, levando a uma SIoT. 

A hipótese de pesquisa define que um modelo de gestão dinâmica dos relacionamentos estabelecidos entre estes objetos, que socializam em ambientes inteligentes, potencialize a oferta de serviços mais oportunos com menor carga cognitiva de seus usuários. O próprio ecossistema de coisas inteligentes se beneficia desta gestão eficiente das relações sociais, pois muitas interações ocorrem de forma autônoma em atendimento a uma finalidade em comum.
"
Engenharia de Computação (Bacharelado),ANA MARILZA PERNAS FLEISCHMANN,"“Validação de sistema de gamificação, gestão e automação na nuvem para eficiência energética de edificações públicas com foco inicial em universidades”","Gerar mudanças de conduta nos usuários, por intermédio de sistemas implementados de gamificação, levando a uma consciência mais sustentável em relação a utilização e interação com o ambiente construído

Objetivos específicos:
● Nivelamento das diferentes equipes de modo que cada uma delas saiba exatamente identificar suas metas e resultados na interação às demais e à integração do projeto;
● Adequação das metodologias de gamificação e estratégias de engajamento do usuário;
● Desenvolver o protótipo a partir da experiência do usuário;
● Desenvolver o software, interface com usuário (front end) e sistemas (back end);
● Validar o protótipo em laboratório;
● Aplicar os produtos anteriores em uma edificação pública de ensino superior para avaliação da metodologia de gamificação na eficiência energética;
● Avaliação de resultados e propor aprimoramento do sistema."
Engenharia de Computação (Bacharelado),ANA MARILZA PERNAS FLEISCHMANN,"SACCI Pelotas: Rede de Saberes Articulando Ciências, Criatividade e Imaginação","Este projeto tem como objetivo geral integrar a metodologia do Pensamento Computacional no desenvolvimento de habilidades relacionadas a área de ciências, com o propósito de aperfeiçoar e inovar as metodologias de ensino dessa área no ensino Fundamental. "
Engenharia de Computação (Bacharelado),ANA MARILZA PERNAS FLEISCHMANN,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental,"Este projeto tem como objetivo geral sensibilizar a rede de ensino para a relevância do ensino dos fundamentos da Ciência da Computação desde a Educação Fundamental. São objetivos específicos:
 - Introduzir alunos e professores do Ensino Fundamental ao processo de solução de problemas denominado Pensamento Computacional;
- Criar oficinas completas para o desenvolvimento de habilidades e a promoção de atitudes essenciais do PC;
- Propor uma metodologia adequada para o desenvolvimento do Pensamento Computacional em escolas do Ensino Fundamental da cidade de Pelotas, considerando as particularidades da rede de ensino municipal e a realidade dos estudantes;
- Qualificar a formação dos estudantes de graduação e pós-graduação envolvidos no projeto;
- Integrar a comunidade e a universidade."
Engenharia de Computação (Bacharelado),ANA MARILZA PERNAS FLEISCHMANN,Explorando o uso de Inteligência Artificial para Suporte a Tecnologias Educacionais,"A evolução na educação virá da observação dos alunos e da revisão dos processos educacionais atuais de baixo para cima: da dinâmica de aula ao planejamento, da instrumentação dos alunos ao conteúdo educacional inteligente, e pensar em novos métodos de acessibilidade, avaliação, análise e recomendação. Ao mesmo tempo, precisamos desafiar a estrutura estabelecida e desconstruir os métodos centenários para a educação, observando como a Inteligência Artificial pode ajudar a evoluir o processo de educação em diversos aspectos sociais, incluindo STEM, artes liberais, ciências humanas, acessibilidade, inclusão, e outros."
Engenharia de Computação (Bacharelado),ANA MARILZA PERNAS FLEISCHMANN,Programa de Monitoria da UFPEL,"O Programa de Monitoria da UFPEL objetiva proporcionar ações contínuas e efetivas que contribuam no combate à reprovação, à retenção e à evasão nos cursos de graduação da UFPEL, mediante atuação direta do monitor no apoio ao desenvolvimento dos componentes curriculares.


"
Engenharia de Computação (Bacharelado),ANA MARILZA PERNAS FLEISCHMANN,Projeto de Permanência e Qualidade Acadêmica dos Cursos de Computação,"O projeto tem por objetivo a melhoria da qualidade do ensino e dos indicadores acadêmicos dos cursos de Computação da UFPEL através do desenvolvimento de ações de combate à retenção e à evasão por meio do aprimoramento das práticas pedagógicas, da modernização dos programas dos cursos, da concentração das ofertas de disciplina e da realização de eventos sociais para integração da comunidade discente."
Engenharia de Computação (Bacharelado),ANDERSON PRIEBE FERRUGEM,Proben - Extensão,"Implementar o bom uso da energia elétrica, através da educação do usuário e da implementação de tecnologias e técnicas mais eficientes, buscando a redução do consumo, das despesas com energia elétrica e a disseminação do conhecimento para além das fronteiras da universidade. Em outras palavras, promover o uso racional da energia elétrica, tratando-a com responsabilidade e sem desperdícios."
Engenharia de Computação (Bacharelado),ANDERSON PRIEBE FERRUGEM,Congresso Anual Internacional Passive House Brasil,"- Aproximar a universidade/academia do mercado da construção civil, como também qualificar arquitetos, engenheiros e profissionais da construção civil no âmbito do projeto de Casas Passivas. "
Engenharia de Computação (Bacharelado),ANDERSON PRIEBE FERRUGEM,Implantação de um Sistema de Produção de Kits Hidrossanitários Industrializados para a Construção Civil,"Desenvolvimento e implementação de um sistema de produção de kits hidrossanitários industrializados para a construção civil, tendo como base os princípios da Produção Enxuta.
"
Engenharia de Computação (Bacharelado),ANDERSON PRIEBE FERRUGEM,Implementação e viabilidade de edificação pública NZEB,"Este projeto compartilha os objetivos gerais do da Chamada Pública, buscando fomentar o conhecimento, estudo e desenvolvimento de projetos NZEB em território nacional e sua aplicabilidade e viabilidade técnica e financeira de construção e operação."
Engenharia de Computação (Bacharelado),ANDERSON PRIEBE FERRUGEM,estudo de processos para a CustomiZAção em Massa de projetos para HAbitações de Interesse Social (CZA+),"Desenvolver processos de uso e interação com tecnologias que possibilitem o co-design visando a customização em massa de projetos de reformas em contextos de habitação de interesse social do Rio Grande do Sul, configurando-se como tecnologias sociais. São adotados os seguintes objetivos específicos:
- Analisar e testar processos e fluxos de trabalho de parametria, processos generativos de projeto e BIM que possam ser utilizados em um sistema de co-design, um configurador de customização em massa, tendo em vista as características específicas do contexto de HIS considerado, assim como a interação e transferência de informação entre os diferentes sistemas.
-  Analisar e testar diferentes meios que possibilitem a interação de forma facilitada entre usuários e os processos mencionados no item anterior (tais como maquetes físicas, mesa tangível, realidade aumentada, entre outros) e desenvolver processor que permitam tal interação de forma automatizada. 
- Desenvolver processos e fluxos de trabalho que permitam a automação de etapas do processo de levantamento em unidades existentes até a obtenção de um modelo digital de tal unidade.
"
Engenharia de Computação (Bacharelado),ANDERSON PRIEBE FERRUGEM,Aprendizagem de programação por pares IA-Humano: Explorando o Potencial do ChatGPT para a aprendizagem de Programação,"O objetivo primário deste estudo é investigar a eficácia do uso do ChatGPT, um Modelo de Linguagem de Grande Escala, como um par de programação, na promoção da aprendizagem de programação de alunos iniciantes em cursos de ciências da computação. Em particular, o estudo pretende avaliar se a interação com o ChatGPT pode melhorar a compreensão dos alunos sobre os conceitos de programação, aumentar sua capacidade de resolução de problemas de programação, e melhorar sua percepção da atividade de programação. A intenção é fornecer insights valiosos que possam informar práticas pedagógicas inovadoras na educação em programação, bem como contribuir para a literatura de pesquisa existente sobre a aplicação de inteligência artificial na educação.
"
Engenharia de Computação (Bacharelado),ANDERSON PRIEBE FERRUGEM,"“Validação de sistema de gamificação, gestão e automação na nuvem para eficiência energética de edificações públicas com foco inicial em universidades”","Gerar mudanças de conduta nos usuários, por intermédio de sistemas implementados de gamificação, levando a uma consciência mais sustentável em relação a utilização e interação com o ambiente construído

Objetivos específicos:
● Nivelamento das diferentes equipes de modo que cada uma delas saiba exatamente identificar suas metas e resultados na interação às demais e à integração do projeto;
● Adequação das metodologias de gamificação e estratégias de engajamento do usuário;
● Desenvolver o protótipo a partir da experiência do usuário;
● Desenvolver o software, interface com usuário (front end) e sistemas (back end);
● Validar o protótipo em laboratório;
● Aplicar os produtos anteriores em uma edificação pública de ensino superior para avaliação da metodologia de gamificação na eficiência energética;
● Avaliação de resultados e propor aprimoramento do sistema."
Engenharia de Computação (Bacharelado),ANDERSON PRIEBE FERRUGEM,DeepRAD - Auxilio de diagnóstico odontologico em radiômica auxiliado por aprendizado de máquina,"O objetivo desse estudo é avaliar a eficácia das Convolutional Neural Networks (CNNs) na identificação dos elementos dentários presentes, anomalias dentárias e no diagnóstico de doenças bucais (lesões periapicais e lesões de cárie), utilizando radiografias panorâmicas e bitewing  através do desenvolvimento e treinamento de um algoritmo de deep learning."
Engenharia de Computação (Bacharelado),ANDERSON PRIEBE FERRUGEM,Programa de Monitoria da UFPEL,"O Programa de Monitoria da UFPEL objetiva proporcionar ações contínuas e efetivas que contribuam no combate à reprovação, à retenção e à evasão nos cursos de graduação da UFPEL, mediante atuação direta do monitor no apoio ao desenvolvimento dos componentes curriculares.


"
Engenharia de Computação (Bacharelado),ANDRÉ DESESSARDS JARDIM,Programa de Monitoria da UFPEL,"O Programa de Monitoria da UFPEL objetiva proporcionar ações contínuas e efetivas que contribuam no combate à reprovação, à retenção e à evasão nos cursos de graduação da UFPEL, mediante atuação direta do monitor no apoio ao desenvolvimento dos componentes curriculares.


"
Engenharia de Computação (Bacharelado),ANDRE RAUBER DU BOIS,Memória Transacional Adaptativa para Arquiteturas Heterogêneas,"Este projeto de pesquisa é uma prorrogação do projeto ""Memória Transacional Adaptativa para Arquiteturas Heterogêneas"" (código 10198). O objetivo geral do projeto é investigar a abstração chamada Memórias Transacionais em diferentes arquiteturas de hardware, propondo soluções a nível de linguagem e sistema de tempo de execução para a execução eficiente dessa abstração nas diferentes arquiteturas.

Esta prorrogação tem por objetivo continuar o projeto, atacando duas frentes novas de investigação: 1) Melhorar o desempenho de Memórias Transacionais em arquiteturas NUMA através da escolha de políticas apropriadas de thread e data mapping para as aplicações 2) Investigar o uso da abstração de Memórias Transacionais em ambientes distribuídos.

A primeira frente de pesquisa tem por objetivo encontrar o melhor mapeamento possível de threads e dados em arquiteturas NUMA para programas concorrentes que usam a abstração de Memórias Transacionais. Para esse fim, pretende-se usar algoritmos de Machine Learning que aprendam com o comportamento de programas de benchmark, para que possam prever um melhor mapeamento para novos programas. Espera-se para esta etapa do trabalho o desenvolvimento de dois artefatos de software. O primeiro seria uma ferramenta que realize o mapeamento de threads e dados através da coleta off-line de dados da execução das aplicações. Nesse caso, os programas seriam executados uma vez e dados coletados na execução seriam passados para a função gerada pelo processo de Machine Learning para que esta função encontre o melhor mapeamento de threads/dados para a nova aplicação. O segundo artefato de software seria baseado no uso on-line desse recurso. O objetivo é que as aplicações tenham duas fases, uma de aquecimento, na qual dados são coletados e uma segunda de mapeamento, no qual a função desenvolvida com Machine Learning é usada para decidir se um novo mapeamento de threads/dados é necessário.

A segunda frente de pesquisa visa a execução da abstração de Memórias Transacionais em ambientes distribuídos. Para isso, pretende-se investigar abstrações a nível de linguagem e a nível de execução de programas, fornecendo um algoritmo distribuído para a execução de programas baseados em Memórias Transacionais. A nível de linguagem, pretende-se desenvolver primitivas que permitam que o programador possa expressar transações que utilizam áreas de memória remotas, i.e., que estão localizadas em outro espaço de endereçamento (máquina remota). A nível de execução, pretende-se adaptar algoritmos clássicos de Memórias Transacionais para ambientes distribuídos.
"
Engenharia de Computação (Bacharelado),ANDRE RAUBER DU BOIS,"SACCI Pelotas: Rede de Saberes Articulando Ciências, Criatividade e Imaginação","Este projeto tem como objetivo geral integrar a metodologia do Pensamento Computacional no desenvolvimento de habilidades relacionadas a área de ciências, com o propósito de aperfeiçoar e inovar as metodologias de ensino dessa área no ensino Fundamental. "
